,precision,recall,f1-score,support
ARTS CULTURE ENTERTAINMENT,0.0,0.0,0.0,3.0
BIOGRAPHIES PERSONALITIES PEOPLE,0.6,0.4,0.48,15.0
DEFENCE,0.46153846153846156,0.46153846153846156,0.46153846153846156,13.0
DOMESTIC MARKETS,0.2,0.5,0.28571428571428575,2.0
FOREX MARKETS,0.36363636363636365,0.3333333333333333,0.34782608695652173,48.0
HEALTH,0.7692307692307693,0.7142857142857143,0.7407407407407408,14.0
IRRELEVANT,0.8693693693693694,0.7255639097744361,0.790983606557377,266.0
MONEY MARKETS,0.5,0.7536231884057971,0.6011560693641619,69.0
SCIENCE AND TECHNOLOGY,0.0,0.0,0.0,3.0
SHARE LISTINGS,0.21739130434782608,0.7142857142857143,0.3333333333333333,7.0
SPORTS,0.9354838709677419,0.9666666666666667,0.9508196721311476,60.0
accuracy,0.694,0.694,0.694,0.694
macro avg,0.44696819446277564,0.506299726208193,0.45382838693963906,500.0
weighted avg,0.7340535997290555,0.694,0.7042027458146072,500.0
